Client,Local_Accuracy,Local_Precision,Local_Recall,Local_F1,Local_AUC,Global_Accuracy,Global_Precision,Global_Recall,Global_F1,Global_AUC
client_7062,0.7709240246406571,0.8526703527675888,0.7947870532955813,0.799039942672184,0.9790150039496686,0.7628747433264887,0.8505496144954611,0.789987274621644,0.7936415543901206,
client_4328,0.7800410677618069,0.8590139053206328,0.8071656539577158,0.808531272068551,0.9795392720639692,0.7738809034907598,0.8572692374324625,0.8033927486690192,0.8044037790212474,
client_687,0.7747022587268994,0.8528071257674465,0.8038241088531253,0.8041426025358992,0.9777286269723781,0.7682135523613963,0.8517626258843755,0.7993608762305197,0.7985591797120342,
client_1571,0.78217659137577,0.8584803705060605,0.8060535385719603,0.8076083233556067,0.9758437290146961,0.7749486652977413,0.8580525714727409,0.8014413467362926,0.802298956247982,
client_6827,0.7670636550308009,0.8526218077707964,0.7941619261507622,0.795865055821114,0.9784590112429745,0.7736344969199178,0.8545679376032752,0.7958475727356227,0.7991506052378182,
client_1197,0.7835728952772074,0.8609857926030119,0.8108770494273779,0.8121572393482644,0.9798489151543951,0.7720739219712526,0.8566966177083967,0.8023748208229214,0.8026774769568302,
client_3208,0.7787268993839835,0.856846587838043,0.7993587273677661,0.8035121111075011,0.9778829665763635,0.7720739219712526,0.8552526536969888,0.801062638845314,0.8011978241372519,
client_3440,0.7796303901437371,0.855115671480733,0.8031894931395763,0.8046574490210228,0.9761732643734802,0.7729774127310062,0.8575613865758677,0.7993622684643259,0.8003298360142631,
client_9931,0.7770841889117043,0.8543799767485534,0.8061923180340872,0.8054120002900427,0.9763797713552935,0.7674743326488707,0.8518548683817455,0.7987984348863267,0.797305092929849,
client_3834,0.7855441478439426,0.8604016793616291,0.8105936023382695,0.8122778337368995,0.9779688218190622,0.7788090349075976,0.8581352743251042,0.8059408724763308,0.8064923558247615,
